AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
329050,Devil May Cry 4 Special Edition,24.37,0.0,2024-04-12 21:34:11,42,5
292030,The Witcher 3: Wild Hunt,130.12,0.0,2021-06-19 00:22:40,78,43
381210,Dead by Daylight,0.0,0.0,1969-12-31 19:00:00,270,0
388210,Day of the Tentacle Remastered,0.0,0.0,1969-12-31 19:00:00,58,0
388420,In Between,0.0,0.0,1969-12-31 19:00:00,16,0
234140,Mad Max,39.98,0.0,2024-05-04 22:06:23,49,21
404540,Nex Machina,0.0,0.0,1969-12-31 19:00:00,39,0
410700,System Shock: Classic,0.0,0.0,1969-12-31 19:00:00,0,0
410710,System Shock: Enhanced Edition,0.0,0.0,1969-12-31 19:00:00,6,0
418270,Draw Slasher,0.0,0.0,1969-12-31 19:00:00,13,0
287290,Resident Evil Revelations 2,0.0,0.0,1969-12-31 19:00:00,43,0
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,12.2,0.0,2024-06-22 13:54:45,53,13
208650,Batman™: Arkham Knight,34.6,0.0,2021-08-14 14:10:36,113,67
339340,Resident Evil 0,1.25,0.0,2020-06-09 22:37:07,47,1
391220,Rise of the Tomb Raider,20.15,0.0,2022-08-26 20:58:11,143,38
438640,LEGO® STAR WARS™: The Force Awakens,0.0,0.0,1969-12-31 19:00:00,69,0
442070,Drawful 2,0.0,0.0,1969-12-31 19:00:00,10,0
442120,Pinball FX3,0.0,0.0,1969-12-31 19:00:00,110,0
230270,N++,0.0,0.0,1969-12-31 19:00:00,33,0
445190,Expeditions: Viking,0.0,0.0,1969-12-31 19:00:00,40,0
445980,Wizard of Legend,0.0,0.0,1969-12-31 19:00:00,19,0
460790,Bayonetta,7.22,0.0,2024-11-25 20:30:23,50,8
462620,Pocket Kingdom,0.0,0.0,1969-12-31 19:00:00,16,0
465200,Fury Unleashed,0.0,0.0,1969-12-31 19:00:00,47,0
379720,DOOM,18.05,0.0,2023-03-14 22:36:18,54,14
474960,Quantum Break,9.6,0.0,2024-04-23 19:15:32,42,27
